Lysipatha is a genus of moth in the family Gelechiidae . || SUBJECT: Lysipatha || PREDICATE: parent taxon || OBJECT: Gelechiidae 
Lucien Jerome Fenton ( May 7 , 1844 -- June 28 , 1922 ) was a U.S. Representative from Ohio .   Born in Winchester , Ohio , Fenton attended the public schools , National Normal University , Lebanon , Ohio , and Ohio University at Athens .  Enlisted as a private in Company I , Ninety-first Regiment , Ohio Volunteer Infantry , August 11 , 1862 .  He was discharged because of wounds on May 29 , 1865 .  He taught school from 1865 to 1881 .  He was an unsuccessful candidate for clerk of the courts of Adams County in 1880 .  He served as clerk in the United States Treasury Department , Washington , D.C. from 1881 to 1884 .  He returned to Ohio and organized the Winchester Bank in 1884 .  He was appointed a trustee of the Ohio University at Athens by Governor McKinley in 1892 .  He served as delegate to the Republican National Convention in 1892 .   Fenton was elected as a Republican to the Fifty-fourth and Fifty-fifth Congresses ( March 4 , 1895 -- March 3 , 1899 ) .  He was an unsuccessful candidate for renomination in 1898 .  He resumed banking in Winchester , Ohio .  He served as president of the Winchester School Board 1912-1922 .  He served as president of the Adams County School Board 1918-1922 .  He died in Winchester , Ohio , June 28 , 1922 .  He was interred in Winchester Cemetery . || SUBJECT: Lucien Jerome Fenton || PREDICATE: date of birth || OBJECT: May 7, 1844 
Lucien Jerome Fenton ( May 7 , 1844 -- June 28 , 1922 ) was a U.S. Representative from Ohio .   Born in Winchester , Ohio , Fenton attended the public schools , National Normal University , Lebanon , Ohio , and Ohio University at Athens .  Enlisted as a private in Company I , Ninety-first Regiment , Ohio Volunteer Infantry , August 11 , 1862 .  He was discharged because of wounds on May 29 , 1865 .  He taught school from 1865 to 1881 .  He was an unsuccessful candidate for clerk of the courts of Adams County in 1880 .  He served as clerk in the United States Treasury Department , Washington , D.C. from 1881 to 1884 .  He returned to Ohio and organized the Winchester Bank in 1884 .  He was appointed a trustee of the Ohio University at Athens by Governor McKinley in 1892 .  He served as delegate to the Republican National Convention in 1892 .   Fenton was elected as a Republican to the Fifty-fourth and Fifty-fifth Congresses ( March 4 , 1895 -- March 3 , 1899 ) .  He was an unsuccessful candidate for renomination in 1898 .  He resumed banking in Winchester , Ohio .  He served as president of the Winchester School Board 1912-1922 .  He served as president of the Adams County School Board 1918-1922 .  He died in Winchester , Ohio , June 28 , 1922 .  He was interred in Winchester Cemetery . || SUBJECT: Lucien Jerome Fenton || PREDICATE: date of death || OBJECT: June 28, 1922 
Machismo is the funk/R & B group Cameo 's 1988 follow up to their album Word Up ! . It includes the hits `` You Make Me Work '' and `` Skin I 'm In '' which have both been issued on compilation albums . The album performed well , reaching # 7 on the R&B charts . || SUBJECT: Machismo || PREDICATE: genre || OBJECT: funk 
Machismo is the funk/R & B group Cameo 's 1988 follow up to their album Word Up ! . It includes the hits `` You Make Me Work '' and `` Skin I 'm In '' which have both been issued on compilation albums . The album performed well , reaching # 7 on the R&B charts . || SUBJECT: Machismo || PREDICATE: genre || OBJECT: R & B 
Machismo is the funk/R & B group Cameo 's 1988 follow up to their album Word Up ! . It includes the hits `` You Make Me Work '' and `` Skin I 'm In '' which have both been issued on compilation albums . The album performed well , reaching # 7 on the R&B charts . || SUBJECT: Machismo || PREDICATE: performer || OBJECT: Cameo 
Machismo is the funk/R & B group Cameo 's 1988 follow up to their album Word Up ! . It includes the hits `` You Make Me Work '' and `` Skin I 'm In '' which have both been issued on compilation albums . The album performed well , reaching # 7 on the R&B charts . || SUBJECT: Machismo || PREDICATE: publication date || OBJECT: 1988 
Machismo is the funk/R & B group Cameo 's 1988 follow up to their album Word Up ! . It includes the hits `` You Make Me Work '' and `` Skin I 'm In '' which have both been issued on compilation albums . The album performed well , reaching # 7 on the R&B charts . || SUBJECT: Machismo || PREDICATE: follows || OBJECT: Word Up! 
Machismo is the funk/R & B group Cameo 's 1988 follow up to their album Word Up ! . It includes the hits `` You Make Me Work '' and `` Skin I 'm In '' which have both been issued on compilation albums . The album performed well , reaching # 7 on the R&B charts . || SUBJECT: funk || PREDICATE: subclass of || OBJECT: R & B 
Machismo is the funk/R & B group Cameo 's 1988 follow up to their album Word Up ! . It includes the hits `` You Make Me Work '' and `` Skin I 'm In '' which have both been issued on compilation albums . The album performed well , reaching # 7 on the R&B charts . || SUBJECT: Cameo || PREDICATE: genre || OBJECT: funk 
Machismo is the funk/R & B group Cameo 's 1988 follow up to their album Word Up ! . It includes the hits `` You Make Me Work '' and `` Skin I 'm In '' which have both been issued on compilation albums . The album performed well , reaching # 7 on the R&B charts . || SUBJECT: Cameo || PREDICATE: genre || OBJECT: R & B 
Machismo is the funk/R & B group Cameo 's 1988 follow up to their album Word Up ! . It includes the hits `` You Make Me Work '' and `` Skin I 'm In '' which have both been issued on compilation albums . The album performed well , reaching # 7 on the R&B charts . || SUBJECT: Word Up! || PREDICATE: followed by || OBJECT: Machismo 
Machismo is the funk/R & B group Cameo 's 1988 follow up to their album Word Up ! . It includes the hits `` You Make Me Work '' and `` Skin I 'm In '' which have both been issued on compilation albums . The album performed well , reaching # 7 on the R&B charts . || SUBJECT: Word Up! || PREDICATE: genre || OBJECT: funk 
Machismo is the funk/R & B group Cameo 's 1988 follow up to their album Word Up ! . It includes the hits `` You Make Me Work '' and `` Skin I 'm In '' which have both been issued on compilation albums . The album performed well , reaching # 7 on the R&B charts . || SUBJECT: Word Up! || PREDICATE: genre || OBJECT: R & B 
Machismo is the funk/R & B group Cameo 's 1988 follow up to their album Word Up ! . It includes the hits `` You Make Me Work '' and `` Skin I 'm In '' which have both been issued on compilation albums . The album performed well , reaching # 7 on the R&B charts . || SUBJECT: Word Up! || PREDICATE: performer || OBJECT: Cameo 
Mak nyah ( [ - mayˈmaʔ ˈɲa ] ) , alternatively spelled maknyah , is a Malay vernacular term for trans women in Malaysia . It arose in the late 1980s in order to distinguish MTF trans women from other minorities .   The name is preferred by Malaysian trans mens as opposed to various derogatory terms ( namely , pondan and bapok ) , which were previously used by Sarawakians when referring to transsexuals and cross-dressers . These are also considered slurs , which are variously directed to gay men as well as transgender individuals . Though less used , the term pak nyah is sometimes used for trans men , and the hybrid term mak-pak nyah for all transgender individuals . || SUBJECT: Malay vernacular || PREDICATE: country || OBJECT: Malaysia 
Mak nyah ( [ - mayˈmaʔ ˈɲa ] ) , alternatively spelled maknyah , is a Malay vernacular term for trans women in Malaysia . It arose in the late 1980s in order to distinguish MTF trans women from other minorities .   The name is preferred by Malaysian trans mens as opposed to various derogatory terms ( namely , pondan and bapok ) , which were previously used by Sarawakians when referring to transsexuals and cross-dressers . These are also considered slurs , which are variously directed to gay men as well as transgender individuals . Though less used , the term pak nyah is sometimes used for trans men , and the hybrid term mak-pak nyah for all transgender individuals . || SUBJECT: Malaysia || PREDICATE: language used || OBJECT: Malay vernacular 
Manoel de Aguiar Fagundes ( 22 August 1907 -- 22 November 1953 ) is a former Brazilian football player . || SUBJECT: Manoel de Aguiar Fagundes || PREDICATE: date of birth || OBJECT: 22 August 1907 
Manoel de Aguiar Fagundes ( 22 August 1907 -- 22 November 1953 ) is a former Brazilian football player . || SUBJECT: Manoel de Aguiar Fagundes || PREDICATE: date of death || OBJECT: 22 November 1953 
Lungotevere Testaccio is the stretch of lungotevere that connects piazza dell 'Em porio with Largo Giovanni Battista Marzi ( that is , between the ponte Sublicio and the ponte Testaccio ) , in Rome , in the Rione of the same name . || SUBJECT: Lungotevere Testaccio || PREDICATE: located in the administrative territorial entity || OBJECT: Rome 
Lungotevere Testaccio is the stretch of lungotevere that connects piazza dell 'Em porio with Largo Giovanni Battista Marzi ( that is , between the ponte Sublicio and the ponte Testaccio ) , in Rome , in the Rione of the same name . || SUBJECT: lungotevere || PREDICATE: located in the administrative territorial entity || OBJECT: Rome 
Lungotevere Testaccio is the stretch of lungotevere that connects piazza dell 'Em porio with Largo Giovanni Battista Marzi ( that is , between the ponte Sublicio and the ponte Testaccio ) , in Rome , in the Rione of the same name . || SUBJECT: ponte Testaccio || PREDICATE: located in the administrative territorial entity || OBJECT: Rome 
Lungotevere Testaccio is the stretch of lungotevere that connects piazza dell 'Em porio with Largo Giovanni Battista Marzi ( that is , between the ponte Sublicio and the ponte Testaccio ) , in Rome , in the Rione of the same name . || SUBJECT: Rione of the same name || PREDICATE: located in the administrative territorial entity || OBJECT: Rome 
Macouba is a village and commune in the French overseas department of Martinique . || SUBJECT: Macouba || PREDICATE: instance of || OBJECT: commune 
Macouba is a village and commune in the French overseas department of Martinique . || SUBJECT: Macouba || PREDICATE: located in the administrative territorial entity || OBJECT: Martinique 
Macouba is a village and commune in the French overseas department of Martinique . || SUBJECT: French || PREDICATE: contains administrative territorial entity || OBJECT: Martinique 
Macouba is a village and commune in the French overseas department of Martinique . || SUBJECT: overseas department || PREDICATE: located in the administrative territorial entity || OBJECT: French 
Macouba is a village and commune in the French overseas department of Martinique . || SUBJECT: Martinique || PREDICATE: contains administrative territorial entity || OBJECT: Macouba 
Macouba is a village and commune in the French overseas department of Martinique . || SUBJECT: Martinique || PREDICATE: country || OBJECT: French 
Macouba is a village and commune in the French overseas department of Martinique . || SUBJECT: Martinique || PREDICATE: instance of || OBJECT: overseas department 
Madeira Botanical Garden ( Portuguese : Jardim Botânico da Madeira ) is a botanical garden in Funchal , Madeira , opened to the public in 1960 . The area was previously part of an estate belonging to the family of William Reid , founder of Reid 's Hotel .   Collections include :  Madeiran indigenous and endemic species  arboretum  succulent plants  `` choreographed '' gardens and topiary ,  greenhouse  agro-industrial plants  medicinal and aromatic plants  palm trees and cycads   The gardens include a bird park ( Louro Bird Park ) and a three-room Natural History Museum . || SUBJECT: Madeira Botanical Garden || PREDICATE: instance of || OBJECT: botanical garden 
Madeira Botanical Garden ( Portuguese : Jardim Botânico da Madeira ) is a botanical garden in Funchal , Madeira , opened to the public in 1960 . The area was previously part of an estate belonging to the family of William Reid , founder of Reid 's Hotel .   Collections include :  Madeiran indigenous and endemic species  arboretum  succulent plants  `` choreographed '' gardens and topiary ,  greenhouse  agro-industrial plants  medicinal and aromatic plants  palm trees and cycads   The gardens include a bird park ( Louro Bird Park ) and a three-room Natural History Museum . || SUBJECT: Madeira Botanical Garden || PREDICATE: located in the administrative territorial entity || OBJECT: Funchal 
